numero;pagina;id_produto;nome;preco;status;variacoes;skus;link
1;1;249365127;Refil de Difusor Aroma Tênue 510ml Óleo Dani Fernandes;R$176,90;Disponivel;7;"REFIL/01/500-1; REFIL/01/500-2; REFIL/01/500-3; REFIL/01/500-4; REFIL/01/500-5; REFIL/01/500-6";https://danifernandes.com.br/produtos/refil-de-difusor-aroma-tenue-510ml-oleo-dani-fernandes/
2;1;246349858;Água Perfumada Tênue 510ml | Dani Fernandes;R$79,90;Disponivel;1;AP 01/500;https://danifernandes.com.br/produtos/agua-perfumada-tenue-500ml/
3;1;246349851;Água Perfumada Flor de Figo 510ml;R$79,90;Disponivel;1;AP 13/500;https://danifernandes.com.br/produtos/agua-perfumada-flor-de-figo-500ml/
4;1;246349630;Refil 500ml Sabonete Aroma Tênue Glitter;R$97,90;Disponivel;1;REFILSABG/01/500;https://danifernandes.com.br/produtos/refil-500-ml-sabonete-aroma-tenue-glitter/
5;1;246350123;Kit Best Sellers Aromatizadores Home Spray 25ml Dani Fernandes;R$149,90;Disponivel;1;KIT/SPRAY/25;https://danifernandes.com.br/produtos/kit-best-sellers-aromatizadores-25ml/
6;1;246349595;Refil 250ml Sabonete Aroma Orquidea | Dani Fernandes;R$73,90;Disponivel;1;REFIL/SAB/20/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-orquidea/
7;1;246349859;Difusor de Aromas Flor de Figo 300ml Óleo Dani Fernandes;R$189,90;Disponivel;1;DIF 13/300;https://danifernandes.com.br/produtos/difusor-de-aromas-flor-de-figo-300-ml-oleo/
8;1;249424181;Refil 500 ml Sabonete Aroma Flor De Figo Glitter Dani Fernandes;R$97,90;Disponivel;1;REFILSABG/13/500;https://danifernandes.com.br/produtos/sabonetes-refil-500-ml-sabonete-aroma-flor-de-figo-glitter/
9;1;246349888;Aromatizador de Ambiente Home Spray Tênue 250ml | Dani Fernandes;R$149,90;Disponivel;1;SPRAY 01/250;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-tenue-250ml-dani-fernandes-145w0/
10;1;246349627;Refil 500ml Sabonete Aroma Tênue;R$97,90;Disponivel;1;REFIL/SAB/01/500;https://danifernandes.com.br/produtos/refil-500-ml-sabonete-aroma-tenue/
11;1;246349822;Essência Concentrada Tênue 15ml | Dani Fernandes;R$97,90;Disponivel;1;ES 01/15;https://danifernandes.com.br/produtos/essencia-tenue-15-ml/
12;1;246349874;Aromatizador de Ambiente Home Spray Flor de Figo 250ml | Dani Fernandes;R$149,90;Disponivel;1;SPRAY 13/250;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-flor-de-figo-250ml-dani-fernandes-1h0uf/
13;2;246349729;Difusor de Aromas Tênue 350ml óleo;R$214,90;Disponivel;1;DIF 01/GLITTER/350;https://danifernandes.com.br/produtos/difusor-de-aromas-tenue-350ml-oleo/
14;2;246349929;Água Perfumada Orquidea 510ml;R$79,90;Disponivel;1;AP 20/510;https://danifernandes.com.br/produtos/agua-perfumada-dani-fernandes-orquidea-510-ml/
15;2;246349969;Agua Perfumada Verbena e Limão Siciliano 510ml Dani Fernandes;R$79,90;Disponivel;1;AP 27/510;https://danifernandes.com.br/produtos/agua-perfumada-verbena-e-limao-siciliano-510ml-dani-fernandes/
16;2;246349837;Essência Flor de Figo 15ml | Dani Fernandes;R$97,90;Disponivel;1;ES 13/15;https://danifernandes.com.br/produtos/essencia-flor-de-figo-15-ml/
17;2;246349631;Refil 500ml Sabonete Aroma Romã Glitter;R$97,90;Disponivel;1;REFILSABG/25/500;https://danifernandes.com.br/produtos/refil-500-ml-sabonete-aroma-roma-glitter/
18;2;246349620;Refil Sabonete Espumador 250ml Aroma Flor De Figo;R$73,90;Disponivel;1;REFILSABE/13/250;https://danifernandes.com.br/produtos/refil-sabonete-espumador-250ml-aroma-flor-de-figo/
19;2;246349726;Difusor de Aromas Tênue 120ml óleo;R$128,90;Disponivel;1;DIF 01/120;https://danifernandes.com.br/produtos/difusor-de-aromas-tenue-120-ml-oleo/
20;2;246349672;Difusor de Aromas Orquídea 210ml Óleo Dani Fernandes;R$179,90;Disponivel;2;"DIF 20/210; DIF 20/210P";https://danifernandes.com.br/produtos/difusor-de-aromas-orquidea-210-ml-oleo/
21;2;246349918;Água Perfumada Romã 510ml;R$79,90;Disponivel;1;AP 25/510;https://danifernandes.com.br/produtos/agua-perfumada-roma-500ml/
22;2;304376365;Creme para Mãos Instituto Paola Tênue 60g - Renda 100% Revertida em Doações;R$49,90;Disponivel;1;HID 01/IP/60;https://danifernandes.com.br/produtos/creme-para-maos-instituto-paola-tenue-60g-renda-100-revertida-em-doacoes/
23;2;246349772;Óleo Difusor de Aromas Tênue Mae Querida 210ml;R$189,90;Disponivel;1;DIF 01/M/210;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-tenue-mae-querida-210-ml/
24;2;246349921;Difusor de Aroma Verbena e Limão Siciliano 300ml Óleo Dani Fernandes;R$194,90;Disponivel;1;DIF 27/300;https://danifernandes.com.br/produtos/difusor-de-aromas-verbena-limao-siciliano-300ml-oleo/
25;3;246349597;Refil 250ml Sabonete Aroma Verbena E Limão Siciliano Glitter | Dani Fernandes;R$73,90;Disponivel;1;REFILSABG/27/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-verbena-e-limao-siciliano/
26;3;316873474;Kit 3 Aromatizadores de Ambiente 25ml | Dani Fernandes & Bridgerton;R$199,90;Disponivel;1;KIT/SPRAY/B;https://danifernandes.com.br/produtos/kit-3-aromatizadores-de-ambiente-25ml-dani-fernandes-bridgerton-httjl/
27;3;246349864;Sabonete Líquido Flor de Figo 300ml Dani Fernandes;R$179,90;Disponivel;1;SAB 13/GLIT/300;https://danifernandes.com.br/produtos/sabonete-liquido-flor-de-figo-300-ml/
28;3;246349983;Óleo Difusor de Aromas Flor de Figo Mãe Querida 210ml;R$189,90;Disponivel;1;DIF 13/M/210;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-flor-de-figo-mae-querida-210-ml-877/
